SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC40381,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
SSC40382,..,6,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,6,12
SSC40383,..,6,6,20,0,20,6,0,6,9,0,9,5,0,5,7,0,7,46,5,57
SSC40384,..,69,69,138,3,139,61,0,64,73,0,73,32,0,32,14,0,14,313,74,389
SSC40385,..,222,222,322,27,343,189,7,194,208,3,211,71,0,71,15,3,18,807,258,1067
SSC40386,..,56,56,68,0,69,13,0,13,12,0,12,6,0,6,0,0,0,98,52,156
SSC40387,..,15,15,9,0,9,10,0,10,6,0,6,9,0,9,3,0,3,31,15,46
SSC40388,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40389,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40390,..,106,106,89,3,91,14,0,14,19,0,19,6,0,6,3,0,3,130,107,239
SSC40391,..,694,694,483,83,565,248,28,274,204,9,212,60,3,59,29,0,32,1018,821,1841
SSC40392,..,4,4,17,0,20,5,0,5,7,0,7,3,0,3,0,0,0,33,8,42
SSC40393,..,181,181,92,18,109,44,3,46,32,0,32,23,0,23,24,0,24,210,205,413
SSC40394,..,579,579,540,80,620,273,12,280,211,0,214,112,0,112,83,0,83,1220,671,1885
SSC40395,..,659,659,423,44,475,237,8,247,175,0,177,75,3,78,67,0,67,980,712,1694
SSC40396,..,382,382,233,32,271,110,4,111,92,0,87,48,0,48,53,0,53,530,427,956
SSC40397,..,579,579,351,65,418,171,6,184,144,3,143,62,0,62,46,0,49,777,660,1433
SSC40398,..,428,428,409,44,452,197,8,201,167,3,168,77,3,79,61,0,61,915,485,1403
SSC40399,..,460,460,286,40,318,141,11,146,97,3,99,53,3,52,51,0,53,622,506,1131
SSC40400,..,666,666,394,44,440,192,6,198,137,0,134,89,0,86,66,0,66,873,723,1601
SSC40401,..,49,49,57,0,57,15,0,15,22,0,22,6,0,6,4,0,4,94,49,151
SSC40402,..,3,3,14,0,14,0,0,0,6,0,6,7,0,7,0,0,0,30,3,30
SSC40403,..,12,12,22,0,22,7,0,7,5,0,5,0,0,0,0,0,0,28,17,46
SSC40404,..,3,3,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,12,3,14
SSC40405,..,4,4,10,0,13,6,0,6,0,0,0,6,0,6,0,0,0,22,6,32
SSC40406,..,681,681,1053,36,1092,184,0,184,113,3,117,56,0,56,19,0,19,1431,717,2147
SSC40407,..,626,626,519,80,600,286,26,309,269,15,288,102,4,104,74,9,81,1248,766,2012
SSC40408,..,68,68,126,3,133,70,0,70,105,0,104,25,0,25,14,0,14,337,76,414
SSC40409,..,3,3,4,0,4,0,0,0,7,0,7,0,0,0,3,0,3,11,3,14
SSC40410,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40411,..,227,227,219,22,244,66,0,69,80,0,85,16,0,16,6,0,6,390,255,643
SSC40412,..,3,3,13,0,13,7,0,7,0,0,0,3,0,3,0,0,0,20,3,21
SSC40413,..,121,121,133,11,149,31,0,31,31,0,31,14,0,14,11,0,11,217,136,354
SSC40414,..,4,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,4,9
SSC40415,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC40416,..,162,162,178,19,193,82,13,90,91,4,95,19,0,19,3,0,3,366,194,568
SSC40417,..,346,346,261,31,292,139,3,143,93,0,94,46,0,46,23,0,23,565,380,949
SSC40418,..,145,145,228,24,252,147,3,150,99,0,99,32,0,32,18,0,18,531,168,693
