SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC40792,42,19,7,4,219
SSC40793,3,7,0,0,48
SSC40794,0,0,0,0,3
SSC40795,7,0,0,0,24
SSC40796,0,0,0,0,4
SSC40797,627,453,270,145,4604
SSC40798,0,0,0,0,0
SSC40799,80,66,38,14,480
SSC40800,3,0,0,0,18
SSC40801,0,0,0,0,11
SSC40802,65,32,18,8,336
SSC40803,5,0,0,0,12
SSC40804,0,3,0,0,3
SSC40805,306,214,52,42,1412
SSC40806,3,0,0,0,9
SSC40807,0,0,0,0,16
SSC40808,0,0,0,0,0
SSC40809,11,7,0,0,33
SSC40810,107,57,22,15,656
SSC40811,212,225,111,37,1116
SSC40812,18,18,3,0,68
SSC40813,120,71,46,22,1512
SSC40814,3,3,0,0,5
SSC40815,0,4,4,3,32
SSC40816,6,7,7,3,55
SSC40817,10,9,0,0,36
SSC40818,5,4,0,0,31
SSC40819,151,93,62,35,1296
SSC40820,271,218,87,26,1297
SSC40821,235,227,168,97,1853
SSC40822,14,8,7,0,80
SSC40823,5,0,0,0,14
SSC40824,0,0,3,0,7
SSC40825,17,5,7,0,56
SSC40826,61,62,40,80,991
SSC40827,0,0,0,0,3
SSC40828,8,8,0,0,55
SSC40829,9,7,0,0,45
SSC40830,58,38,22,13,335
SSC40831,0,0,0,0,3
SSC40832,121,47,33,3,553
SSC40833,6,0,0,0,27
SSC40834,0,0,0,0,0
SSC40835,591,277,81,55,6780
SSC40836,0,3,0,0,3
SSC40837,132,80,25,6,834
SSC40838,6,3,0,0,10
SSC40839,3,0,0,0,8
SSC40840,173,237,137,81,963
SSC40841,9,7,3,0,37
SSC40842,109,65,22,0,694
SSC40843,348,324,187,116,1962
SSC40844,123,60,11,7,658
SSC40845,131,96,43,8,632
SSC40846,44,28,6,0,185
SSC40847,28,23,5,3,152
