SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC40166,24,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,26
SSC40167,868,199,471,4,4,1547,205,60,157,0,0,424,23,10,22,0,0,65,1099,264,652,4,12,2029
SSC40168,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40169,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40170,15,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,3,16,0,0,0,0,16
SSC40171,16,0,0,0,0,16,4,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,16
SSC40172,73,0,0,0,0,79,13,0,3,0,0,14,0,0,0,0,0,0,87,0,3,0,0,88
SSC40173,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC40174,124,0,0,0,0,124,26,0,0,0,0,26,0,0,0,0,0,0,147,0,0,0,0,148
SSC40175,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC40176,51,0,0,0,0,52,19,0,0,0,0,19,0,0,0,0,0,0,73,0,0,0,0,68
SSC40177,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SSC40178,42,0,0,0,0,39,12,0,0,0,0,13,0,0,0,0,0,0,50,0,0,0,3,53
SSC40179,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC40180,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC40181,74,0,0,0,0,73,6,0,0,0,0,6,0,0,0,0,0,0,83,0,0,0,0,85
SSC40182,37,0,0,0,0,37,10,0,0,0,0,10,0,0,0,0,0,0,48,0,0,0,0,48
SSC40183,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC40184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40185,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6
SSC40186,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20
SSC40187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40188,33,0,0,0,0,33,3,0,0,0,0,3,0,0,0,0,0,0,40,0,0,0,0,40
SSC40189,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC40190,41,0,0,0,3,43,10,0,0,0,0,10,3,0,0,0,0,8,51,0,0,0,3,57
SSC40191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40192,711,223,44,3,3,978,53,31,13,0,0,98,8,4,0,0,0,20,772,267,55,3,3,1098
SSC40193,311,24,0,8,5,348,72,12,0,0,0,95,6,0,0,0,0,14,396,39,0,13,8,455
SSC40194,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40195,26,0,0,0,0,26,9,0,0,0,0,9,3,0,0,0,0,3,39,0,0,0,0,39
SSC40196,1635,46,0,0,3,1685,210,9,0,0,0,222,37,0,0,0,0,42,1886,56,3,0,3,1947
SSC40197,107,0,0,3,0,114,42,0,0,0,0,40,4,0,0,0,0,3,149,0,3,3,0,156
SSC40198,15,0,0,0,0,17,7,0,0,0,0,7,0,0,0,0,0,0,22,0,0,0,0,23
SSC40199,103,0,0,4,0,108,38,0,0,0,0,40,3,0,0,0,0,3,148,0,0,5,0,154
SSC40200,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,15
SSC40201,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7
SSC40202,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC40203,169,0,0,0,0,168,45,0,0,0,0,47,3,0,0,0,0,3,214,3,0,0,0,219
SSC40204,15,0,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,17
SSC40205,47,0,0,0,0,47,7,0,0,0,0,7,0,0,0,0,0,0,61,0,0,0,0,61
SSC40206,30,0,0,0,0,32,14,0,0,0,0,14,0,0,0,0,0,0,44,0,0,0,0,50
SSC40207,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC40208,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC40209,90,0,0,0,0,90,38,0,0,0,0,40,5,0,0,0,0,5,127,0,0,0,0,128
SSC40210,578,363,173,0,8,1122,106,93,44,0,0,245,16,12,4,0,0,35,700,477,219,0,8,1403
SSC40211,1553,549,269,3,7,2380,457,157,146,0,0,761,48,18,17,0,0,85,2050,724,429,3,10,3218
SSC40212,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC40213,41,0,0,3,0,41,8,0,0,0,0,8,0,0,0,0,0,0,43,0,0,3,0,50
SSC40214,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40215,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC40216,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40217,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40218,14,0,0,0,0,14,10,0,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,20
SSC40219,20,0,0,0,0,18,9,0,0,0,0,9,0,0,0,0,0,0,26,0,0,0,0,21
SSC40220,88,0,0,0,0,90,32,0,0,0,0,30,0,0,0,0,0,7,122,0,0,0,0,128
SSC40221,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC40222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40224,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC40225,132,0,0,0,0,131,17,0,0,0,0,18,0,0,0,0,0,0,152,3,0,0,0,152
SSC40226,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC40227,22,0,0,0,3,22,9,0,0,0,0,9,0,0,0,0,0,0,28,0,0,0,0,31
SSC40228,126,6,0,0,0,128,34,0,0,0,0,34,7,0,0,0,0,7,158,5,0,0,0,165
SSC40229,16,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,21
SSC40230,26,0,0,0,0,25,3,0,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,32
SSC40231,6,0,0,0,0,6,4,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,7
SSC40232,16,0,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,22
