SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC41265,458,1198,44,86,19,48,58,133,34,51,0,0,0,0,0,0,34,51,0,0,0,0,0,0,0,0,0,0,0,3,554,1384,55,..,603,1384
SSC41266,2234,6001,398,928,105,311,503,1245,112,205,0,0,0,0,0,0,112,205,0,0,0,0,0,0,0,0,0,0,6,24,2861,7472,228,..,3085,7472
SSC41267,51,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,133,3,..,55,133
SSC41268,984,2916,140,232,0,0,138,229,47,62,0,0,0,0,0,0,47,62,0,0,3,6,0,4,0,0,8,12,3,16,1177,3232,456,..,1636,3232
SSC41269,929,2196,210,435,60,140,268,575,27,34,0,0,0,0,0,0,27,34,0,0,0,0,0,3,7,7,9,12,0,3,1236,2820,106,..,1343,2820
SSC41270,349,952,46,101,3,5,51,103,47,85,0,0,0,0,0,0,47,85,0,0,0,0,0,0,3,4,3,4,3,11,453,1160,49,..,501,1160
SSC41271,32,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,84,4,..,41,84
SSC41272,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,55,3,..,17,55
SSC41273,185,398,6,11,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,4,13,200,426,46,..,240,426
SSC41274,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,..,3,4
SSC41275,1913,5248,697,1268,55,129,746,1400,501,930,0,0,0,0,4,0,503,932,0,0,0,0,0,3,0,5,3,5,4,5,3171,7589,255,..,3426,7589
SSC41276,1720,4881,314,579,13,34,331,607,114,190,18,42,0,0,0,0,130,239,0,0,0,0,0,0,0,0,0,0,4,9,2179,5734,165,..,2346,5734
SSC41277,2840,7247,358,601,36,68,390,667,248,408,0,0,0,0,0,0,248,408,0,0,0,0,0,0,0,3,0,3,7,11,3489,8336,288,..,3774,8336
SSC41278,1726,4925,29,54,3,14,35,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1766,5000,122,..,1888,5000
SSC41279,2670,7235,898,1836,58,126,955,1965,5,10,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,5,11,3636,9221,356,..,3989,9221
SSC41280,760,1883,56,88,8,13,60,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,71,38,71,0,0,858,2055,61,..,915,2055
SSC41281,397,1033,53,102,7,16,59,112,3,10,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,466,1158,29,..,495,1158
SSC41282,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,4,..,16,13
SSC41283,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,10,..,24,32
SSC41284,19,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,58,3,..,21,58
SSC41285,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,6,..,9,12
SSC41286,41,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,117,3,..,41,117
SSC41287,20,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,42,13,..,32,42
SSC41288,31,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,73,10,..,36,73
SSC41289,31,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,72,6,..,36,72
SSC41290,34,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,96,9,..,40,96
