SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC40936,0,0,0,6,5,7,5,7,0,26
SSC40937,0,0,0,0,0,0,3,0,0,3
SSC40938,0,0,0,11,12,3,7,8,4,39
SSC40939,0,0,0,24,25,10,4,72,57,185
SSC40940,363,112,692,4228,5497,2661,1948,4498,1658,20495
SSC40941,3,0,4,40,64,47,24,26,16,225
SSC40942,0,0,0,5,4,7,8,7,0,31
SSC40943,0,0,3,29,27,24,19,17,15,127
SSC40944,0,0,0,0,0,0,0,0,0,0
SSC40945,0,0,0,33,32,13,22,11,6,121
SSC40946,0,0,0,3,13,5,6,3,10,46
SSC40947,0,0,0,9,3,0,6,10,3,25
SSC40948,0,0,0,9,15,7,7,4,5,52
SSC40949,0,0,0,9,9,13,13,12,7,57
SSC40950,0,0,0,0,3,0,7,0,0,12
SSC40951,6,0,6,68,114,59,38,36,11,324
SSC40952,13,14,31,172,230,106,108,161,73,850
SSC40953,0,0,3,35,57,35,23,24,9,184
SSC40954,0,0,0,7,0,0,3,6,7,25
SSC40955,0,0,0,7,10,0,3,4,8,29
SSC40956,3,0,6,129,180,82,61,72,47,573
SSC40957,0,0,0,3,8,0,0,0,0,12
SSC40958,0,0,0,8,11,0,0,3,3,21
SSC40959,0,0,0,10,9,5,3,3,4,35
SSC40960,0,0,0,13,10,0,4,0,35,66
SSC40961,0,0,0,12,12,6,4,6,3,37
SSC40962,0,0,0,53,62,21,28,31,17,201
SSC40963,0,0,0,0,0,0,0,0,0,0
SSC40964,0,0,0,3,11,4,9,3,4,30
SSC40965,0,0,0,0,0,3,0,0,0,5
SSC40966,0,0,3,22,27,19,15,23,7,111
SSC40967,4,0,7,101,89,60,39,59,23,365
SSC40968,0,0,0,13,15,9,7,4,5,59
SSC40969,0,0,0,3,4,5,5,18,15,53
SSC40970,3,3,16,627,711,336,274,677,202,2829
SSC40971,0,0,3,38,30,24,22,47,20,188
SSC40972,3,3,7,968,1112,464,412,857,289,4098
SSC40973,0,0,0,8,28,14,13,13,6,75
SSC40974,0,0,0,21,9,3,7,8,3,50
SSC40975,0,0,0,3,3,7,0,0,0,11
SSC40976,0,0,0,3,4,3,12,10,0,36
SSC40977,0,0,3,9,14,3,0,13,4,43
SSC40978,0,0,0,0,8,0,3,5,0,22
SSC40979,202,71,434,2294,2894,1357,1202,2887,1385,12028
SSC40980,5,3,14,193,292,127,84,176,65,940
SSC40981,0,0,0,20,24,14,18,28,14,115
SSC40982,0,0,0,37,42,20,14,29,12,155
SSC40983,0,0,0,4,12,3,20,6,4,50
SSC40984,0,0,3,30,41,26,11,21,11,138
SSC40985,0,0,0,4,3,9,4,5,0,20
SSC40986,7,7,16,170,273,141,130,95,86,896
SSC40987,0,3,5,86,117,46,49,56,35,388
SSC40988,0,0,6,126,171,90,70,92,40,591
SSC40989,0,0,0,3,11,3,3,8,6,33
SSC40990,253,69,428,529,609,304,191,678,180,2490
SSC40991,0,0,0,0,0,0,0,0,0,6
SSC40992,0,0,0,0,0,0,0,0,0,3
SSC40993,0,0,0,0,0,0,0,0,0,0
SSC40994,19,6,46,465,553,233,130,287,69,1733
SSC40995,0,0,0,6,10,3,8,0,0,21
SSC40996,10,0,26,936,1301,569,391,474,250,3920
SSC40997,0,0,0,3,11,0,3,4,0,17
SSC40998,3,0,3,26,46,19,20,32,29,174
SSC40999,0,3,3,66,65,51,67,113,38,396
SSC41000,0,0,0,20,8,3,6,7,0,47
SSC41001,0,0,3,80,130,83,77,94,54,518
SSC41002,74,66,197,1032,1275,618,455,1048,423,4854
SSC41003,0,0,0,14,14,9,12,8,13,68
SSC41004,0,0,0,32,35,15,12,39,13,153
SSC41005,0,0,0,5,3,3,3,6,4,23
SSC41006,0,0,0,19,14,10,5,8,4,57
SSC41007,0,0,0,0,5,3,3,0,4,17
SSC41008,0,0,0,16,45,28,14,39,19,149
SSC41009,0,0,0,12,28,6,14,20,0,74
SSC41010,0,0,0,3,8,6,11,10,16,59
SSC41011,0,0,0,26,29,10,12,20,20,113
SSC41012,13,3,34,300,364,185,98,157,45,1155
SSC41013,0,0,0,11,7,8,8,4,7,35
SSC41014,35,14,98,341,404,197,137,357,94,1527
SSC41015,0,0,0,178,179,59,13,122,47,599
SSC41016,0,0,0,13,17,15,3,11,0,62
