SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,15
SSC40053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,15,10,11,0,0,60
SSC40054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,17,18,19,10,0,0,0,69
SSC40055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,7,0,0,0,31
SSC40056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,6,11,23,19,6,0,85
SSC40057,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,9,7,6,17,7,3,0,57
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC40060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40061,3,4,0,5,4,4,4,0,0,22,0,4,0,5,3,0,7,0,0,24,52,82,133,163,184,157,51,10,0,832
SSC40062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,12
SSC40063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3
SSC40064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,0,0,0,28
SSC40065,3,4,9,3,5,4,6,0,0,37,0,0,0,5,4,6,3,0,0,18,49,64,127,157,203,160,62,4,0,819
SSC40066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC40067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,8,14,7,0,0,0,43
SSC40068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,0,4,0,25
SSC40069,0,3,11,17,24,14,4,0,0,78,3,4,10,8,8,5,0,0,0,46,79,115,313,373,343,251,65,4,0,1541
SSC40070,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,10,11,7,22,8,10,0,0,69
SSC40071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,14
SSC40072,0,8,4,3,12,7,4,0,0,45,3,0,6,3,4,5,3,0,0,35,58,88,181,197,248,230,76,13,0,1081
SSC40073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SSC40075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,11,7,0,0,36
SSC40076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,7,8,6,0,0,0,33
SSC40077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,3,0,0,0,14
SSC40078,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,0,3,0,0,9,7,8,17,33,48,44,13,0,0,165
SSC40079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,8,4,3,0,0,19
SSC40080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,3,0,0,0,20
SSC40081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,11,6,48,55,52,70,23,6,0,271
SSC40082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SSC40083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,5,0,0,0,25
SSC40084,3,7,3,7,9,9,0,0,0,38,0,0,5,11,9,11,0,4,0,36,68,98,129,225,304,286,94,15,3,1223
SSC40085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40086,3,3,6,10,7,0,0,0,0,27,3,0,7,4,7,0,0,3,0,21,56,112,167,135,80,61,20,4,0,622
SSC40087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,11,15,0,0,0,35
SSC40088,4,7,6,14,24,10,5,0,0,66,3,6,11,20,10,9,7,3,0,64,115,179,249,433,588,430,134,17,0,2154
SSC40089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,6,3,6,4,0,0,0,35
SSC40090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,10,3,0,0,33
SSC40091,4,10,6,7,3,3,6,0,0,42,0,0,3,8,3,7,0,9,0,32,55,84,165,220,242,218,75,22,0,1075
SSC40092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4
SSC40093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
SSC40094,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,4,4,18,11,18,4,3,0,71
SSC40095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC40096,3,5,6,14,17,10,0,0,0,58,0,4,13,10,13,3,3,0,0,54,74,161,347,292,318,260,54,10,0,1507
SSC40097,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,3,4,21,11,20,19,0,0,85
SSC40098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,11,4,0,0,32
SSC40099,0,6,7,5,10,4,3,0,0,40,0,0,8,7,7,8,3,0,0,29,35,72,194,191,177,146,36,8,0,860
SSC40100,0,7,8,8,6,0,0,0,0,28,0,0,13,5,13,6,3,0,0,35,26,64,170,193,163,98,17,0,0,733
SSC40101,0,0,0,3,0,0,0,0,0,7,0,0,4,3,0,3,0,0,0,9,8,9,23,18,33,31,5,0,0,137
SSC40102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC40103,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,7,3,16,10,0,0,0,46
SSC40104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,15,16,0,0,0,50
SSC40106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,3,0,0,19
SSC40107,5,0,4,8,7,6,0,0,0,29,0,0,0,4,8,3,0,0,0,19,38,56,66,129,199,125,28,3,0,644
