SSC_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SSC40794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC40795,6,0,0,0,0,6,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
SSC40796,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC40797,975,166,51,0,3,1184,887,159,50,0,6,1103,289,97,138,0,0,519,69,73,7,0,0,147,178,50,60,0,0,290,7,21,7,0,0,29,6,3,3,0,0,17,9,6,5,0,0,14,556,249,216,0,3,1021,20,81,0,0,0,102,56,34,9,0,3,107,2494,689,323,0,13,3515
SSC40798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40799,200,3,5,4,0,216,136,0,0,0,0,138,18,0,0,0,0,18,13,0,0,0,0,18,47,0,0,0,0,50,3,0,3,0,0,5,15,0,0,0,0,15,12,0,0,0,0,12,101,0,5,0,0,107,5,0,0,0,0,7,10,0,0,0,0,9,454,3,16,5,0,482
SSC40800,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC40801,5,0,0,0,0,5,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC40802,114,0,0,3,0,117,142,3,0,0,0,147,15,0,0,0,0,15,0,0,0,0,0,0,30,0,0,0,0,27,0,3,3,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,43,3,5,0,0,54,0,0,0,0,0,0,5,0,0,0,0,6,310,12,5,3,3,322
SSC40803,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC40804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40805,385,37,14,0,0,427,292,19,5,0,0,325,37,44,33,0,0,110,0,4,0,0,0,4,18,12,14,0,0,39,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,8,60,57,51,0,0,162,0,0,0,0,0,0,11,3,4,0,0,14,749,112,66,0,0,935
SSC40806,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC40807,7,0,0,0,0,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,0,0,0,0,13
SSC40808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40809,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22
SSC40810,153,22,0,0,0,174,176,21,0,0,0,197,45,16,11,0,0,71,0,0,0,0,0,0,18,7,13,0,0,40,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,70,25,22,0,0,124,0,0,0,0,0,0,7,4,0,0,0,9,410,66,26,0,0,509
SSC40811,423,0,0,19,0,445,295,3,0,0,3,305,133,5,7,0,3,148,43,13,0,0,0,54,84,0,0,0,0,89,3,8,0,0,0,12,12,0,0,0,0,7,3,0,0,0,0,5,280,25,7,3,0,309,14,0,0,0,0,9,24,3,0,0,0,23,1031,33,3,27,3,1098
SSC40812,24,0,0,0,0,24,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,17,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,3,56,0,0,0,0,59
SSC40813,196,67,0,7,0,272,353,134,9,3,3,507,66,47,29,0,0,140,129,50,14,0,0,191,63,30,16,0,0,113,7,9,21,0,0,38,10,8,5,0,0,29,3,4,0,0,0,11,280,153,90,0,0,522,13,9,0,0,0,24,17,15,8,0,0,39,861,385,108,7,5,1359
SSC40814,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC40815,15,0,0,0,0,15,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,23,0,0,0,0,23
SSC40816,16,0,0,0,0,16,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40
SSC40817,12,0,0,0,0,12,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
SSC40818,14,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22
SSC40819,212,70,23,0,0,297,144,94,29,0,0,272,43,55,103,0,0,203,4,45,15,0,0,63,36,22,53,0,0,106,0,9,7,0,0,16,0,0,9,0,0,15,3,0,0,0,0,3,89,131,189,0,0,406,4,20,0,0,0,30,9,3,6,0,0,19,455,322,248,0,3,1025
SSC40820,339,3,0,0,0,344,328,6,0,0,3,339,64,5,4,0,0,65,0,0,0,0,0,0,37,7,0,0,0,42,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,105,7,4,0,0,120,6,0,0,0,0,6,17,0,0,0,0,17,802,18,5,0,3,824
SSC40821,490,100,0,0,0,595,341,73,6,0,0,416,74,64,21,0,0,164,15,40,0,0,0,55,72,25,8,0,0,105,7,27,3,0,0,36,13,3,0,0,3,26,3,0,0,0,0,4,186,167,29,0,7,387,10,79,0,0,0,90,24,28,3,0,0,52,1043,445,37,0,8,1537
SSC40822,31,0,0,0,0,31,15,0,0,0,0,15,7,0,0,0,0,7,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,65,0,0,0,0,65
SSC40823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40824,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40825,15,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,3,0,6,0,0,0,0,0,0,9,0,0,8,0,21,4,0,0,0,0,4,4,0,0,0,0,3,33,0,0,15,0,48
SSC40826,123,31,19,0,0,176,123,54,20,0,0,199,43,69,64,0,0,179,12,18,6,0,0,39,30,39,24,0,0,88,0,12,8,0,0,18,3,8,0,0,0,7,4,0,0,0,0,6,84,144,97,0,3,329,0,0,0,0,0,0,11,8,3,0,0,22,343,237,139,0,4,726
SSC40827,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40828,25,0,0,0,0,25,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,42,0,0,0,0,42
SSC40829,11,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,24,0,0,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,37,0,0,0,0,40
SSC40830,39,24,3,0,0,71,36,22,0,0,0,62,0,42,0,0,0,50,0,0,0,0,0,0,8,14,0,0,0,21,0,3,0,0,0,4,3,4,0,0,0,3,0,0,0,0,0,0,10,65,0,0,0,76,0,18,4,0,0,28,3,5,0,0,0,12,91,141,10,0,0,242
SSC40831,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC40832,138,0,6,0,0,141,192,3,0,0,0,190,46,5,3,0,0,57,0,0,0,0,0,0,36,0,3,0,0,40,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,91,5,8,0,3,98,3,0,0,0,0,3,9,0,0,0,0,13,427,4,12,0,4,451
SSC40833,10,0,0,0,0,10,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30
SSC40834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40835,524,79,35,0,0,639,1462,405,147,0,0,2016,461,559,412,0,3,1441,10,18,10,0,0,42,153,108,48,0,0,310,12,4,4,0,0,23,79,10,12,0,0,104,3,0,0,0,0,4,715,700,494,3,3,1922,34,5,6,0,0,44,36,18,7,0,0,70,2771,1214,697,3,9,4698
SSC40836,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40837,172,29,4,4,0,206,154,37,5,0,0,197,40,46,29,0,0,109,3,36,10,0,0,44,19,13,13,0,0,48,0,5,0,0,0,7,3,0,0,0,0,4,0,0,0,0,0,4,65,101,44,0,0,213,3,0,3,0,0,3,3,3,0,0,0,10,393,167,58,3,0,630
SSC40838,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC40839,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC40840,354,24,0,0,0,376,179,6,0,0,0,185,87,10,6,0,0,100,15,0,0,0,0,20,47,4,0,0,0,55,3,12,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,159,31,8,0,0,199,3,38,0,0,0,39,15,3,0,0,0,24,707,103,8,0,0,820
SSC40841,10,0,0,0,0,10,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22
SSC40842,146,0,0,0,0,146,277,3,0,0,0,277,26,3,0,0,0,29,0,0,0,0,0,0,27,0,0,0,0,29,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,64,4,0,0,0,70,0,0,0,0,0,0,8,0,0,0,0,8,491,4,0,0,0,500
SSC40843,650,24,7,17,3,701,495,6,3,0,8,509,121,8,4,0,0,130,5,0,0,0,0,5,67,3,0,0,0,73,4,0,0,0,0,4,9,0,0,0,0,6,3,0,0,0,0,4,207,11,8,0,0,227,21,9,0,0,0,29,29,3,0,0,0,37,1402,52,17,20,11,1505
SSC40844,139,3,0,3,0,148,269,0,0,0,0,273,21,0,0,0,0,21,0,4,0,0,0,4,41,0,0,0,0,41,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,67,4,0,0,0,72,0,0,0,0,0,0,6,0,0,0,0,6,484,6,0,0,4,494
SSC40845,171,13,0,0,0,191,119,0,3,0,0,120,15,3,5,0,0,19,0,0,0,0,0,0,13,3,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,7,0,0,41,0,0,0,0,0,0,3,0,0,0,0,3,326,22,11,0,0,358
SSC40846,51,5,0,0,0,57,33,0,0,0,0,33,6,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,3,102,10,0,0,0,113
SSC40847,70,0,0,0,3,77,30,0,0,0,0,30,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,6,130,0,0,0,3,129
SSC40848,217,6,61,0,0,286,299,3,32,0,0,331,56,3,31,0,0,90,3,0,3,0,0,9,64,3,16,0,0,83,0,0,14,0,0,14,0,0,3,0,0,6,3,0,3,0,0,4,127,10,69,0,0,207,0,0,48,0,0,51,14,0,10,0,3,27,657,19,218,0,3,904
SSC40849,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC40850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
SSC40851,175,3,0,0,0,179,117,0,0,0,0,122,31,0,6,0,0,36,22,3,0,0,0,24,41,0,0,0,0,39,0,0,0,0,0,0,10,0,0,0,0,10,8,0,0,0,0,8,114,5,6,0,0,123,0,6,0,0,0,8,12,0,0,0,0,13,415,10,9,3,3,445
SSC40852,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC40853,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14
SSC40854,16,0,0,0,0,16,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32
SSC40855,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40856,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40857,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC40858,12,0,0,0,0,12,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
SSC40859,13,0,0,0,0,14,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,7,0,33
SSC40860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40862,188,0,0,0,0,189,153,0,0,0,0,157,48,0,0,0,0,47,0,0,0,0,0,0,44,0,0,0,0,44,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,4,96,0,0,0,0,103,0,0,0,0,0,0,5,0,0,0,0,5,450,3,0,3,0,456
SSC40863,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40864,39,0,0,0,0,39,54,0,0,0,0,53,6,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,112
SSC40865,135,3,0,8,0,145,144,0,0,0,0,147,21,0,0,0,0,21,0,0,3,0,0,3,23,0,0,0,0,26,0,0,0,0,0,0,4,0,0,3,0,6,3,0,0,0,0,3,51,0,3,3,0,55,3,0,0,0,0,3,10,0,3,0,0,15,341,4,6,7,0,359
SSC40866,353,77,22,0,0,446,304,145,9,0,4,463,151,130,64,0,0,341,73,79,29,0,0,180,101,76,46,0,3,221,8,20,8,0,0,29,5,3,8,0,0,15,15,5,0,0,0,19,349,311,148,0,5,815,5,7,0,0,0,13,16,5,5,0,0,30,1023,549,185,3,8,1771
SSC40867,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8
SSC40868,16,0,0,0,0,16,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
SSC40869,3,0,0,4,0,11,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,8,0,33
SSC40870,755,23,0,9,5,790,642,8,0,0,0,651,199,39,31,0,5,271,119,4,0,0,0,125,94,8,0,0,0,104,3,4,0,0,0,10,20,3,0,0,0,22,5,0,0,3,0,12,439,64,33,3,5,545,7,0,0,0,0,11,57,3,0,0,0,64,1900,103,33,10,7,2056
SSC40871,315,23,0,0,0,341,268,6,5,0,0,282,41,4,18,0,0,64,0,0,0,0,0,0,28,3,8,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,72,9,28,0,0,110,0,0,0,0,0,0,16,0,3,0,0,21,670,41,38,0,0,753
SSC40872,7,0,0,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
SSC40873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,6,4,0,0,0,0,4,56,0,0,0,0,56,3,0,0,0,0,3,0,0,0,0,0,0,62,0,0,0,0,62
SSC40874,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC40875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40876,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
