SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC41554,54,1863,664,325,1655,0.7,1293,2.2
SSC41555,48,1733,701,350,1845,0.8,1498,2.5
SSC41556,49,0,560,0,1062,0.6,900,2.5
SSC41557,37,1625,590,275,1461,0.8,1145,2.4
SSC41558,48,0,593,0,1312,0.6,1187,2
SSC41559,43,1950,734,285,2274,0.8,1705,2.6
SSC41560,43,955,477,0,1199,0.8,1104,2.7
SSC41561,45,0,550,0,749,1.1,1187,1.5
SSC41562,48,0,1041,0,1774,0.6,1125,2.5
SSC41563,42,1842,608,0,1406,0.8,1375,2.5
SSC41564,46,0,899,0,1375,0.6,1187,1.5
SSC41565,53,1300,725,200,1625,0.7,1458,1.9
SSC41566,45,0,0,0,0,0,0,0
SSC41567,35,1517,515,45,1374,1.2,1375,3.3
SSC41568,35,0,687,0,1624,0,1437,0
SSC41569,48,1700,608,238,1468,0.8,1357,2.5
SSC41570,46,1456,487,180,1124,0.6,850,2
SSC41571,44,1500,656,188,1906,0.8,1351,2.3
SSC41572,0,0,0,0,0,0,0,0
SSC41573,32,1829,759,250,1908,0.7,1655,2.6
SSC41574,37,1083,481,180,1206,0.7,903,2.2
SSC41575,44,1430,617,180,1795,0.7,1342,2.3
SSC41576,40,1083,433,152,1035,0.7,754,2.1
SSC41577,49,790,525,0,1187,0.7,1041,2.3
SSC41578,48,0,474,50,1312,0.5,1292,2.3
SSC41579,55,0,1024,0,0,0,0,0
SSC41580,45,1083,545,120,1375,0.8,1312,2.8
SSC41581,40,845,574,175,1050,0.8,933,2.4
SSC41582,32,0,850,0,0,0,1749,1
SSC41583,46,0,450,3,1343,0.8,1312,2.7
SSC41584,44,0,589,0,1390,0.7,1264,2.7
SSC41585,41,0,737,0,1224,1,1149,2.6
SSC41586,42,1250,620,275,1389,0.7,1127,2.3
SSC41587,57,0,762,0,0,0,725,1
SSC41588,40,1517,654,280,1705,0.8,1480,2.8
SSC41589,50,0,933,0,2250,0.6,2250,2
SSC41590,57,0,649,0,0,1,0,2
SSC41591,48,0,612,0,0,0,0,2
SSC41592,31,1679,483,0,2166,0.4,1833,1.3
SSC41593,54,0,725,0,2250,0.7,2250,2.3
SSC41594,0,0,0,0,0,0,0,0
SSC41595,44,1528,661,308,1673,0.8,1360,2.6
SSC41596,38,1955,725,245,1968,0.9,1958,3.3
SSC41597,45,1614,750,290,1963,0.8,1819,2.8
SSC41598,43,1767,524,318,1635,0.9,1444,2.9
SSC41599,51,1083,508,150,1204,0.7,1033,2.4
SSC41600,44,1040,556,300,1187,0.8,979,2.6
SSC41601,36,1634,594,277,1491,0.8,1207,2.4
SSC41602,43,1026,393,255,968,0.8,819,2.5
SSC41603,47,1300,705,200,1656,0.8,1352,2.5
SSC41604,0,0,0,0,0,0,0,0
SSC41605,29,0,575,100,1187,0.7,1062,2.1
SSC41606,56,694,436,135,1083,0.7,793,2.2
SSC41607,0,0,0,0,0,0,0,0
SSC41608,44,1300,725,0,1812,0.7,1812,2.2
SSC41609,57,867,437,155,914,0.8,780,1.6
SSC41610,38,433,681,95,1208,0.8,1107,2.1
SSC41611,46,1345,491,140,949,0.7,819,2.1
SSC41612,49,2338,725,60,1937,0.7,1765,2.6
SSC41613,47,0,1212,0,0,0.6,0,2
SSC41614,42,0,599,150,1916,0.8,1833,2.9
SSC41615,44,700,463,105,956,0.8,822,2.3
SSC41616,0,0,0,0,0,0,0,0
SSC41617,63,463,388,0,780,0.6,695,1.6
SSC41618,48,800,443,0,1166,0.9,1042,2.3
SSC41619,0,0,0,0,0,0,0,0
SSC41620,45,0,437,170,1042,0.5,1125,2.4
SSC41621,42,1517,543,130,1562,0.7,1275,2.3
SSC41622,39,1517,660,320,1691,0.8,1429,2.7
SSC41623,38,2000,691,305,2440,0.8,1895,2.8
SSC41624,42,1257,599,0,1458,0.7,1333,2.6
SSC41625,33,940,599,150,1350,0.9,1312,2.4
SSC41626,47,966,489,63,1359,0.7,1142,2.2
SSC41627,43,1521,627,293,1508,0.8,1265,2.5
SSC41628,39,1602,628,275,1549,0.9,1194,2.4
SSC41629,35,1366,387,200,995,0.9,782,2.6
SSC41630,35,1517,472,265,1237,0.9,1044,2.5
SSC41631,37,1733,626,285,1660,0.9,1368,2.6
SSC41632,38,1733,667,310,1648,0.8,1342,2.4
SSC41633,38,1700,607,277,1667,0.8,1247,2.4
SSC41634,62,1361,417,170,762,0.5,629,1.8
SSC41635,40,0,949,0,0,0,949,0
SSC41636,48,0,612,0,2249,0.8,1937,2.8
SSC41637,43,0,840,0,1625,0.5,1583,2
SSC41638,40,1175,687,50,1437,0.6,1199,2.9
SSC41639,50,0,474,0,0,1,899,0
SSC41640,48,0,1179,120,2083,0.5,1562,1.4
SSC41641,29,0,450,0,0,1,0,0
SSC41642,37,1625,774,300,1974,0.8,1902,3
SSC41643,54,0,612,0,1333,0.8,1291,2.9
SSC41644,40,867,608,163,1403,0.7,1155,2.4
SSC41645,48,433,514,0,1187,0.7,1125,2.2
SSC41646,43,1821,661,135,1343,0.8,1083,2.7
SSC41647,46,1000,493,50,1291,0.6,833,2.2
SSC41648,41,1519,698,290,1824,0.8,1490,2.6
SSC41649,65,800,472,140,900,0.6,756,2
SSC41650,52,477,527,185,1437,0.8,922,2
SSC41651,40,1532,697,200,1756,0.9,1548,2.9
SSC41652,28,150,649,0,1624,0,900,4
SSC41653,30,0,285,75,833,1.3,1025,3.6
SSC41654,37,2007,771,125,1562,0.9,1312,2.7
SSC41655,13,0,0,0,0,0,0,0
SSC41656,53,0,0,0,0,0,0,2
SSC41657,39,0,350,0,0,0,0,0
SSC41658,44,813,1028,80,2250,0.7,1625,2.5
SSC41659,56,1110,467,220,1136,0.7,792,2.2
SSC41660,41,0,1312,0,2374,0,2374,0
SSC41661,43,0,0,0,0,0,0,0
SSC41662,0,0,0,0,0,0,0,1
SSC41663,47,0,762,0,0,0,0,0
SSC41664,46,2200,746,328,1766,0.8,1764,2.8
SSC41665,27,0,284,0,1125,0.5,1042,2.5
SSC41666,46,1868,778,258,2196,0.7,2143,3
SSC41667,33,0,833,25,2100,0.9,1916,2.8
SSC41668,0,0,0,0,0,0,0,0
SSC41669,59,0,437,0,0,0.6,575,1
SSC41670,46,0,425,0,1375,1.3,1249,3.1
SSC41671,51,700,365,0,866,0.6,754,2
SSC41672,48,0,833,100,1499,0.5,1156,2
SSC41673,49,900,483,190,1170,0.7,850,2.2
SSC41674,58,1187,452,145,1020,0.7,780,2
SSC41675,0,0,0,0,0,0,0,0
SSC41676,41,705,525,0,850,0.5,833,2.9
SSC41677,0,0,0,0,0,0,0,0
SSC41678,45,1821,630,128,1542,0.8,1375,2.5
SSC41679,47,0,680,0,1375,0.5,1208,2.1
SSC41680,31,0,450,0,1749,1,1375,0
SSC49494,40,0,370,0,0,0,0,0
SSC49797,45,0,1749,0,0,0,0,0
