SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC40227,3,0,3,7,6,0,17,41,8,74
SSC40228,14,4,17,30,37,0,73,230,26,329
SSC40229,0,0,3,8,0,0,8,38,7,49
SSC40230,0,0,0,11,5,0,16,50,0,63
SSC40231,0,0,0,3,3,0,8,12,0,17
SSC40232,0,0,3,0,3,0,5,28,4,39
SSC40233,0,0,0,0,3,0,4,27,5,34
SSC40234,0,0,0,4,0,0,4,3,0,7
SSC40235,0,0,0,9,8,0,17,31,4,51
SSC40236,24,18,47,246,128,13,384,855,232,1474
SSC40237,0,0,0,25,3,0,32,66,4,106
SSC40238,4,0,5,27,4,0,26,122,18,163
SSC40239,0,0,0,6,3,0,6,10,9,20
SSC40240,0,0,0,9,6,0,13,17,0,29
SSC40241,4,0,4,131,56,0,188,393,31,607
SSC40242,0,0,0,18,9,3,25,71,0,101
SSC40243,0,0,0,6,0,0,9,9,3,23
SSC40244,0,3,3,101,23,0,131,275,33,435
SSC40245,0,0,0,3,0,0,3,13,0,12
SSC40246,0,0,0,4,0,0,5,8,0,20
SSC40247,44,0,44,310,136,10,450,1301,124,1877
SSC40248,3,0,3,119,56,8,182,280,17,479
SSC40249,5,0,5,20,14,3,33,67,8,111
SSC40250,0,0,0,3,3,0,5,6,0,15
SSC40251,0,0,0,0,0,0,0,5,0,5
SSC40252,0,0,0,0,0,0,0,3,0,5
SSC40253,0,0,0,0,0,0,0,0,0,0
SSC40254,125,19,141,724,311,32,1070,2733,503,4311
SSC40255,108,83,198,735,343,46,1125,2798,589,4514
SSC40256,48,7,55,313,122,11,439,814,51,1312
SSC40257,133,13,151,459,229,14,698,1699,191,2596
SSC40258,44,3,51,464,103,24,583,1177,53,1808
SSC40259,41,3,47,396,151,14,566,1457,98,2116
SSC40260,0,0,0,90,50,4,151,351,25,527
SSC40261,0,0,0,5,0,0,8,11,3,21
SSC40262,0,0,0,3,0,0,3,0,0,10
SSC40263,4,0,4,32,20,3,52,251,18,321
SSC40264,88,13,104,648,207,18,869,1974,210,3049
SSC40265,0,0,0,0,0,0,0,6,0,6
SSC40266,0,0,0,8,3,0,12,28,3,41
SSC40267,43,16,52,131,68,4,200,498,79,779
SSC40268,0,0,0,4,0,0,4,7,0,11
SSC40269,9,0,11,16,13,0,20,208,47,278
SSC40270,0,0,0,0,4,0,7,12,0,22
SSC40271,68,6,72,516,184,15,724,1855,143,2721
SSC40272,11,3,14,45,29,0,79,198,28,307
SSC40273,0,0,0,0,0,0,0,0,0,0
SSC40274,0,0,0,26,8,0,33,18,7,62
SSC40275,3,0,4,141,32,10,178,331,18,531
SSC40276,3,3,3,4,4,0,11,31,11,52
SSC40277,6,0,6,77,29,3,109,384,40,532
SSC40278,0,0,0,10,5,0,15,34,5,53
SSC40279,0,0,0,7,0,0,7,20,5,28
SSC40280,7,0,7,113,57,6,171,421,48,637
SSC40281,0,0,0,10,0,0,10,21,0,30
SSC40282,0,0,0,0,0,0,0,6,0,6
SSC40283,0,0,0,0,3,0,7,0,0,8
SSC40284,34,3,39,212,57,10,270,826,73,1175
SSC40285,35,4,42,677,214,26,920,1603,117,2633
SSC40286,3,0,3,6,4,0,5,21,0,30
SSC40287,0,0,0,7,3,0,9,16,0,24
SSC40288,0,0,0,15,24,0,45,129,36,206
SSC40289,3,0,3,122,41,3,169,348,29,545
SSC40290,0,3,3,12,12,0,26,100,25,152
SSC40291,0,0,0,17,6,3,24,17,4,45
SSC40292,0,0,0,12,10,0,18,17,0,35
SSC40293,7,5,15,181,48,3,230,950,305,1485
SSC40294,4,0,5,28,11,0,41,149,22,209
SSC40295,0,0,0,16,3,0,25,25,4,56
SSC40296,0,0,0,0,0,0,0,4,3,6
SSC40297,3,0,3,46,20,4,68,169,24,261
SSC40298,0,0,0,23,6,0,22,61,8,88
SSC40299,0,0,0,12,0,0,16,34,3,50
SSC40300,0,0,0,4,0,0,3,10,0,11
